NAME,SEASON,TM,GP,CMP,ATT,PCT,YDS,AVG,YDS/G,TD,TD%,INT,INT%,SCK,SCKY,RATE
Bryce Perkins,2022,LAR,5,19,34,55.9,161,4.7,32.2,1,2.9,2,5.9,6,50,53.7
Kyle Trask,2022,TB,1,3,9,33.3,23,2.6,23,0,0,0,0,0,0,42.4
Sam Howell,2022,WAS,1,11,19,57.9,169,8.9,169,1,5.3,1,5.3,3,11,83
Skylar Thompson,2022,MIA,7,60,105,57.1,534,5.1,76.3,1,1,3,2.9,6,40,62.2
Bailey Zappe,2022,NE,4,65,92,70.7,781,8.5,195.3,5,5.4,3,3.3,6,40,100.9
Kenny Pickett,2022,PIT,13,245,389,63,"2,404",6.2,184.9,7,1.8,9,2.3,27,182,76.7
Malik Willis,2022,TEN,8,31,61,50.8,276,4.5,34.5,0,0,3,4.9,10,49,42.8
Desmond Ridder,2022,ATL,4,73,115,63.5,708,6.2,177,2,1.7,0,0,9,33,86.4
Anthony Brown,2022,BAL,2,22,49,44.9,302,6.2,151,0,0,2,4.1,5,14,48.2
Brock Purdy,2022,SF,9,114,170,67.1,"1,374",8.1,152.7,13,7.6,4,2.4,11,84,107.3
Matt Corral,2022,CAR,2,0,0,,0,,0,0,,0,,0,0,
Davis Cheek,2022,CAR,1,0,0,,0,,0,0,,0,,0,0,
Davis Webb,2021,BUF,1,0,0,,0,,0,0,,0,,0,0,
Kurt Benkert,2021,GB,1,0,0,,0,,0,0,,0,,0,0,
Jordan Love,2021,GB,6,36,62,58.1,411,6.6,68.5,2,3.2,3,4.8,3,23,68.7
Jake Fromm,2021,NYG,3,27,60,45,210,3.5,70,1,1.7,3,5,6,33,38.9
Jacob Eason,2021,IND,1,2,5,40,25,5,25,0,0,1,20,0,0,16.7
Ian Book,2021,NO,1,12,20,60,135,6.8,135,0,0,2,10,8,54,40.6
K.J. Costello,2021,LAC,1,0,0,,0,,0,0,,0,,0,0,
Kellen Mond,2021,MIN,2,2,3,66.7,5,1.7,2.5,0,0,0,0,0,0,70.1
Zach Wilson,2021,NYJ,13,213,383,55.6,"2,334",6.1,179.5,9,2.3,11,2.9,44,370,69.7
Justin Fields,2021,CHI,12,159,270,58.9,"1,870",6.9,155.8,7,2.6,10,3.7,36,264,73.2
Sam Ehlinger,2021,IND,3,0,0,,0,,0,0,,0,,0,0,
Davis Mills,2021,HOU,13,263,394,66.8,"2,664",6.8,204.9,16,4.1,10,2.5,31,206,88.8
Mac Jones,2021,NE,17,352,521,67.6,"3,801",7.3,223.6,22,4.2,13,2.5,28,241,92.5
Feleipe Franks,2021,ATL,10,0,1,0,0,0,0,0,0,1,100,0,0,0
Trey Lance,2021,SF,6,41,71,57.7,603,8.5,100.5,5,7,2,2.8,4,15,97.3
